기준_년분기_코드,행정동_코드,행정동_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,11440610,염리동,4051438,8,15030544000,104234000,10009000,30440000,42473000,133823000,85176000,10993000,14172988000,16474000,423934000,5315807,2376300,2939506,969807,710339,949706,1055814,738428,891713,1445166,1101733,615506,604632,841810,706961,759331,777330,767303,776986,756078,739041,739738
20241,11440600,대흥동,3421062,7,2057749000,373729000,21782000,26772000,395798000,6267000,425303000,24055000,190019000,103927000,490097000,7603223,3470580,4132643,995010,2191012,1300012,1098731,892358,1126100,1823525,1597100,972137,978492,1306367,925603,1087985,1111201,1118369,1099950,1076396,1066932,1042390
20241,11440590,용강동,4787212,8,2588408000,439021000,15415000,34665000,554613000,107053000,227633000,67864000,220545000,78787000,842812000,6022670,2819355,3203315,1210889,624145,979266,1194567,892396,1121406,1528431,1247015,744772,741374,1024579,736499,869819,883334,884793,883317,865923,825627,809858
20241,11440585,도화동,4217433,8,2960586000,265865000,20835000,180410000,521421000,348217000,42319000,124924000,256730000,209303000,990562000,4356037,2007551,2348487,510879,596949,862795,787751,668434,929228,972334,877007,578828,577058,820489,530320,624594,624857,636118,622665,624811,617614,605377
20241,11440565,공덕동,4047702,8,1995701000,337776000,27559000,49532000,318347000,111517000,73738000,48269000,290764000,131737000,606462000,13452940,6118079,7334862,1792058,1961844,2547808,2317879,2085820,2747531,3711920,2864974,1561834,1506695,2085961,1721558,1931456,1958149,1944676,1947247,1911477,1855768,1904166
20241,11440555,아현동,5237419,9,2.95E+11,719368000,52698000,52227000,452693000,24117000,122116000,12371000,2.93E+11,163687000,464920000,7481563,3239424,4242139,1430029,876490,1467572,1366764,1031339,1309371,1927994,1633953,934016,911970,1180417,893211,1087303,1107447,1107221,1094618,1075341,1000849,1008783
20241,11410720,북가좌2동,2590646,6,1237101000,359908000,6714000,30366000,154443000,12252000,121774000,42428000,79058000,46577000,383581000,11490809,5143792,6347017,1923886,1537363,1688843,1924650,1663713,2752354,3254888,2379449,1229862,1230840,1843302,1552468,1616384,1620925,1596702,1623647,1606508,1685403,1741239
20241,11410710,북가좌1동,4005416,8,662746000,150064000,8695000,2111000,218947000,12083000,106164000,3280000,43773000,51034000,66595000,2849631,1313883,1535748,584992,269787,384246,489318,445228,676058,813807,586704,297579,295892,459238,396411,411163,402196,395634,399966,399465,414319,426887
20241,11410700,남가좌2동,3237719,7,1791791000,669877000,21818000,10179000,205885000,31087000,135562000,43741000,126353000,103933000,443356000,6327613,2821242,3506371,1020097,1227145,912797,974487,871405,1321681,1643645,1288214,737116,748124,1071503,839011,907955,898715,906609,903349,877721,915516,917747
20241,11410690,남가좌1동,4622839,8,1039787000,256537000,25300000,0,437824000,6950000,32429000,22603000,38788000,46116000,173240000,1130963,517343,613620,271939,106477,156597,206458,164155,225336,255728,230268,143730,152433,210848,137953,159644,158529,157773,158215,158421,170685,167698
20241,11410685,홍은2동,2874442,6,1233005000,300175000,6448000,10666000,148628000,106666000,212418000,26541000,80835000,22063000,318565000,4334667,1963076,2371592,692886,706464,593122,636320,671499,1034379,1204007,940877,491794,479260,659846,558882,616744,618457,605241,616751,601480,627572,648420
20241,11410660,홍은1동,3093859,7,461620000,159199000,4992000,27618000,56745000,1623000,42563000,4027000,39057000,20210000,105586000,3915677,1755210,2160467,533848,459783,548751,575727,690063,1107504,1071715,822054,423860,423381,644494,530172,549349,543866,537373,541626,539911,588388,615164
20241,11410655,홍제2동,3664523,7,634459000,97916000,29989000,556000,166127000,139291000,22429000,4515000,23585000,12414000,137637000,2150644,961994,1188649,324228,248074,308901,319084,361140,589218,600815,412935,219808,232605,370979,313503,306457,303469,298370,300961,301768,314471,325149
20241,11410640,홍제3동,2807766,6,1392408000,454464000,16425000,17332000,327913000,39069000,55966000,19463000,58699000,66983000,336094000,4080711,1869370,2211342,590448,510802,559483,571524,670190,1178264,1046731,829680,475588,483789,701100,543821,582101,580525,574123,576110,577582,590737,599533
20241,11410620,홍제1동,3459117,7,1176524000,325243000,11402000,4797000,291850000,109880000,29351000,30287000,57951000,42071000,273692000,6378053,2867794,3510259,977224,811104,880563,960492,1006630,1742041,1745171,1325978,713103,712967,1029672,851162,910698,896511,887908,897909,902558,938834,943636
